Dimnames of all_slid,Specimens,NEOPAL,STAPES,VOMER,QU,JJ,SPH D,SPH V
Rheobatrachus_silus_S_NHM_1982_131_final_mirrored,Rheobatrachus silus,present,present,present,present,present,present,present
Rhinoderma-darwinii_MNHN 2006.2736_Paris_S_final,Rhinoderma darwinii,NA,present,present,present,present,present,present
Rhinophrynus dorsalis CAS71766_Fl_S_final,Rhinophrynus dorsalis,NA,NA,present,present,present,NA,present
Scaphiophryne madagascariensis zmb 10423_KD_S_final,Scaphiophryne madagascariensis,present,present,present,present,present,present,present
Scaphiopus holbrookii UF 9620_Fl_S_ornamented,Scaphiopus holbrookii,present,present,present,present,present,NA,present
Semnodactylus weali zmb 75815_KD_S_final,Semnodactylus weali,present,present,present,present,present,present,present
Sooglossus_sechellensis_CAS-H-160084_M14493-25841_S_final,Sooglossus sechellensis,present,NA,present,present,present,NA,present
Spea multiplicata UF 100788_Fl_S_final,Spea multiplicata,NA,present,present,present,present,present,present
Strabomantis ingeri FMNH 81985_1_CNHM81915_Fl_S_final,Strabomantis ingeri,present,present,present,present,present,NA,present
Stumpffia pygmaea UF 153631_Fl_S_final,Stumpffia pygmaea,present,present,present,present,present,NA,NA
Syncope_antenori_UF-H-68008_M11048-16850_S_final,Syncope antenori,NA,present,present,NA,present,present,present
Telmatobius degener UF 39736_Fl_S_final,Telmatobius delgener,present,present,present,present,present,present,present
Telmatobius-laticeps_MNHN 1963.789_Paris_S_final,Telmatobius laticeps,present,present,present,present,present,present,present
Theloderma-stellatum_FMNH_253619_JHanken_S_final,Theloderma stellatum,present,present,present,present,present,present,present
Thoropa miliaris CM 68357_Fl_S_final,Thoropa miliaris,present,present,present,present,present,present,present
Tomopterna_marmorata_ZMB_76248_MfN_S_final,Tomopterna marmorata,present,present,present,present,present,present,present
Trichobatrachus_robustus_cas-herp-254134_M15030-27165_S_final,Trichobatrachus robustus,present,present,present,present,present,present,present
Triprion petasatus UF98441_Fl_S_ornamented,Triprion petasatus,present,present,present,NA,present,present,present
Uperodon monatnus UF 20016_Fl_S_final,Uperodon monatnus,NA,present,present,present,present,NA,present
Xenopus_laevis_Jeanne_20M_scaledx1000,Xenopus laevis,NA,present,present,NA,present,NA,present
Xenorhina sp. UF 121103_Fl_S_final,Xenorhina sp.,present,present,present,present,present,NA,present
